AUG,崭新出厂,普通,33984,AUG | 秋叶原之选,41,28199,25092.03,0.89,2024-06-16
AUG,略有磨损,普通,33986,AUG | 秋叶原之选,74,9399.5,9384.01,1.0,2024-06-16
AUG,久经沙场,普通,33985,AUG | 秋叶原之选,67,3949.5,6710.54,1.7,2024-06-16
AUG,崭新出厂,普通,34031,AUG | 赤红新星,18,3126.9,4006.75,1.28,2024-06-16
AUG,战痕累累,普通,776808,AUG | 烈焰巨蟒,1,2999.5,5176.81,1.73,2024-06-16
AUG,崭新出厂,纪念品,37537,AUG（纪念品） | 暴风呼啸,1,2899.5,1208.36,0.42,2024-06-16
AUG,破损不堪,普通,33987,AUG | 秋叶原之选,15,2498.5,3405.91,1.36,2024-06-16
AUG,崭新出厂,普通,775442,AUG | 午夜百合,46,2329,3696.18,1.59,2024-06-16
AUG,略有磨损,普通,775745,AUG | 午夜百合,7,2199.5,5078.21,2.31,2024-06-16
AUG,崭新出厂,普通,775823,AUG | 烈焰巨蟒,68,2149.5,3627.33,1.69,2024-06-16
AUG,久经沙场,普通,776078,AUG | 午夜百合,7,2149.49,3387.85,1.58,2024-06-16
AUG,略有磨损,普通,775983,AUG | 烈焰巨蟒,8,2088.3,3203.86,1.53,2024-06-16
AUG,久经沙场,普通,775910,AUG | 烈焰巨蟒,4,2049.5,3104.26,1.51,2024-06-16
AUG,战痕累累,普通,33983,AUG | 秋叶原之选,8,1826.5,3209.16,1.76,2024-06-16
AUG,略有磨损,纪念品,37525,AUG（纪念品） | 众枪之的,1,888.38,1076.32,1.21,2024-06-16
AUG,略有磨损,普通,34020,AUG | 铜斑蛇,13,707.88,943.05,1.33,2024-06-16
AUG,久经沙场,普通,34019,AUG | 铜斑蛇,4,688.5,935.0,1.36,2024-06-16
AUG,破损不堪,普通,871537,AUG | 夜空沙暴,3,649.5,541.21,0.83,2024-06-16
AUG,略有磨损,普通,33989,AUG | 深蓝电镀处理,4,632.37,549.33,0.87,2024-06-16
AUG,崭新出厂,StatTrak™,38244,AUG（StatTrak™） | 孟加拉猛虎,6,548.5,952.77,1.74,2024-06-16
AUG,崭新出厂,普通,871176,AUG | 夜空沙暴,55,454.5,633.34,1.39,2024-06-16
AUG,略有磨损,普通,871599,AUG | 夜空沙暴,15,421.5,647.06,1.54,2024-06-16
AUG,崭新出厂,StatTrak™,769576,AUG（StatTrak™） | 动量,40,419.5,567.47,1.35,2024-06-16
AUG,久经沙场,普通,871373,AUG | 夜空沙暴,16,411.5,563.7,1.37,2024-06-16
AUG,战痕累累,普通,871714,AUG | 夜空沙暴,5,398.5,580.46,1.46,2024-06-16
AUG,略有磨损,纪念品,37539,AUG（纪念品） | 暴风呼啸,9,269.4,255.51,0.95,2024-06-16
AUG,久经沙场,纪念品,37524,AUG（纪念品） | 众枪之的,12,238.75,355.99,1.49,2024-06-16
AUG,战痕累累,纪念品,37536,AUG（纪念品） | 暴风呼啸,8,198.99,130.22,0.65,2024-06-16
AUG,崭新出厂,普通,33996,AUG | 孟加拉猛虎,50,189.05,283.81,1.5,2024-06-16
AUG,崭新出厂,普通,33988,AUG | 深蓝电镀处理,76,186,289.68,1.56,2024-06-16
AUG,崭新出厂,StatTrak™,38278,AUG（StatTrak™） | 鹰翼,129,173.5,216.92,1.25,2024-06-16
AUG,崭新出厂,普通,34063,AUG | 鹰翼,85,162.77,214.74,1.32,2024-06-16
AUG,略有磨损,普通,34064,AUG | 鹰翼,17,161.5,206.54,1.28,2024-06-16
AUG,略有磨损,StatTrak™,38246,AUG（StatTrak™） | 孟加拉猛虎,29,158.49,204.73,1.29,2024-06-16
AUG,略有磨损,StatTrak™,38279,AUG（StatTrak™） | 鹰翼,23,158.1,213.65,1.35,2024-06-16
AUG,破损不堪,纪念品,37540,AUG（纪念品） | 暴风呼啸,14,156,309.71,1.99,2024-06-16
AUG,崭新出厂,StatTrak™,773723,AUG（StatTrak™） | 汪之萌杀,55,152.9,227.29,1.49,2024-06-16
AUG,崭新出厂,StatTrak™,38254,AUG（StatTrak™） | 燕群,59,149.5,219.75,1.47,2024-06-16
AUG,崭新出厂,StatTrak™,775722,AUG（StatTrak™） | 极地孤狼,91,129.84,177.82,1.37,2024-06-16
AUG,崭新出厂,StatTrak™,38269,AUG（StatTrak™） | 力矩,57,121.49,160.26,1.32,2024-06-16
AUG,崭新出厂,StatTrak™,38249,AUG（StatTrak™） | 变色龙,120,116.28,174.77,1.5,2024-06-16
AUG,崭新出厂,普通,835754,AUG | 璞玉,542,109.5,143.65,1.31,2024-06-16
AUG,崭新出厂,StatTrak™,38264,AUG（StatTrak™） | 席德.米德,82,109.5,182.89,1.67,2024-06-16
AUG,略有磨损,纪念品,37529,AUG（纪念品） | 雇佣兵,11,109.5,121.81,1.11,2024-06-16
AUG,破损不堪,纪念品,37530,AUG（纪念品） | 雇佣兵,6,98.79,104.32,1.06,2024-06-16
AUG,略有磨损,StatTrak™,38271,AUG（StatTrak™） | 力矩,42,98.7,125.51,1.27,2024-06-16
