蝴蝶刀,久经沙场,★,42552,蝴蝶刀（★） | 大马士革钢,103,6699.5,6783.02,1.01,2024-06-17
蝴蝶刀,破损不堪,★,42535,蝴蝶刀（★） | 蓝钢,120,6698.5,6833.01,1.02,2024-06-17
蝴蝶刀,破损不堪,★,872010,蝴蝶刀（★） | 传说,131,6668.5,6640.17,1.0,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43403,蝴蝶刀（★ StatTrak™） | 深红之网,61,6665.5,6487.17,0.97,2024-06-17
蝴蝶刀,久经沙场,★,42547,蝴蝶刀（★） | 深红之网,426,6665.5,6783.02,1.02,2024-06-17
蝴蝶刀,战痕累累,★,42531,蝴蝶刀（★） | 蓝钢,122,6665.5,6799.34,1.02,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43390,蝴蝶刀（★ StatTrak™） | 蓝钢,17,6665,6630.02,0.99,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,872043,蝴蝶刀（★ StatTrak™） | 自由之手,33,6649.5,6783.02,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,755670,蝴蝶刀（★） | 都市伪装,8,6599.5,6732.02,1.02,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43394,蝴蝶刀（★ StatTrak™） | 蓝钢,19,6545.5,6426.01,0.98,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,872472,蝴蝶刀（★ StatTrak™） | 传说,25,6499.5,6630.02,1.02,2024-06-17
蝴蝶刀,久经沙场,★,42543,蝴蝶刀（★） | 表面淬火,282,6499,6629.51,1.02,2024-06-17
蝴蝶刀,破损不堪,★,871868,蝴蝶刀（★） | 黑色层压板,64,6458.5,6568.79,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,42537,蝴蝶刀（★） | 北方森林,5,6454.5,6488.19,1.01,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,872054,蝴蝶刀（★ StatTrak™） | 黑色层压板,33,6399.5,6528.01,1.02,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43406,蝴蝶刀（★ StatTrak™） | 大马士革钢,7,6399.5,6222.01,0.97,2024-06-17
蝴蝶刀,战痕累累,★,871838,蝴蝶刀（★） | 黑色层压板,79,6394.5,6487.17,1.01,2024-06-17
蝴蝶刀,略有磨损,★,42567,蝴蝶刀（★） | 噩梦之夜,94,6349.5,6477.01,1.02,2024-06-17
蝴蝶刀,略有磨损,★,871917,蝴蝶刀（★） | 澄澈之水,106,6299.5,6425.5,1.02,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,872117,蝴蝶刀（★ StatTrak™） | 澄澈之水,24,6289.5,6375.01,1.01,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43408,蝴蝶刀（★ StatTrak™） | 大马士革钢,20,6229.5,6324.01,1.02,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43422,蝴蝶刀（★ StatTrak™） | 噩梦之夜,14,6199.5,6273.01,1.01,2024-06-17
蝴蝶刀,破损不堪,★,42554,蝴蝶刀（★） | 大马士革钢,15,6199.5,6313.78,1.02,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,872178,蝴蝶刀（★ StatTrak™） | 黑色层压板,23,6198,6018.0,0.97,2024-06-17
蝴蝶刀,战痕累累,★,42550,蝴蝶刀（★） | 大马士革钢,19,6165.5,6283.16,1.02,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43410,蝴蝶刀（★ StatTrak™） | 大马士革钢,3,6149.5,5865.0,0.95,2024-06-17
蝴蝶刀,久经沙场,★,871888,蝴蝶刀（★） | 自由之手,168,6099.5,6216.93,1.02,2024-06-17
蝴蝶刀,崭新出厂,★,755657,蝴蝶刀（★） | 枯焦之色,6,6099.5,6120.0,1.0,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,871900,蝴蝶刀（★ StatTrak™） | 黑色层压板,35,6097.5,6158.74,1.01,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43433,蝴蝶刀（★ StatTrak™） | 人工染色,9,6049,6139.37,1.01,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,872098,蝴蝶刀（★ StatTrak™） | 自由之手,33,6045.49,6120.0,1.01,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43401,蝴蝶刀（★ StatTrak™） | 表面淬火,17,5999.5,5809.43,0.97,2024-06-17
蝴蝶刀,略有磨损,★,42585,蝴蝶刀（★） | 人工染色,91,5999.5,6118.99,1.02,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43405,蝴蝶刀（★ StatTrak™） | 深红之网,12,5947,6024.31,1.01,2024-06-17
蝴蝶刀,破损不堪,★,42549,蝴蝶刀（★） | 深红之网,47,5914.5,9210.98,1.56,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,871989,蝴蝶刀（★ StatTrak™） | 传说,13,5799.5,8600.86,1.48,2024-06-17
蝴蝶刀,崭新出厂,★,42559,蝴蝶刀（★） | 森林 DDPAT,8,5799.5,5893.29,1.02,2024-06-17
蝴蝶刀,破损不堪,★,42545,蝴蝶刀（★） | 表面淬火,146,5787.5,9338.02,1.61,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,873071,蝴蝶刀（★ StatTrak™） | 自由之手,5,5759.5,6531.42,1.13,2024-06-17
蝴蝶刀,久经沙场,★,872000,蝴蝶刀（★） | 澄澈之水,159,5747.5,9420.5,1.64,2024-06-17
蝴蝶刀,战痕累累,★,871914,蝴蝶刀（★） | 传说,102,5689.5,9099.77,1.6,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43398,蝴蝶刀（★ StatTrak™） | 表面淬火,8,5649.5,8051.09,1.43,2024-06-17
蝴蝶刀,久经沙场,★,42590,蝴蝶刀（★） | 致命紫罗兰,244,5619.5,8656.72,1.54,2024-06-17
蝴蝶刀,久经沙场,★,42584,蝴蝶刀（★） | 人工染色,99,5579.5,7585.98,1.36,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43432,蝴蝶刀（★ StatTrak™） | 人工染色,15,5537.5,9791.95,1.77,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,872179,蝴蝶刀（★ StatTrak™） | 澄澈之水,51,5519.5,8901.71,1.61,2024-06-17
蝴蝶刀,崭新出厂,★,45548,蝴蝶刀（★） | 狩猎网格,5,5499.5,8877.92,1.61,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43437,蝴蝶刀（★ StatTrak™） | 致命紫罗兰,53,5499,8795.36,1.6,2024-06-17
蝴蝶刀,战痕累累,★,42541,蝴蝶刀（★） | 表面淬火,112,5447.9,7326.11,1.34,2024-06-17
蝴蝶刀,破损不堪,★,872055,蝴蝶刀（★） | 自由之手,35,5425,11572.35,2.13,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,872137,蝴蝶刀（★ StatTrak™） | 澄澈之水,6,5399.5,9068.5,1.68,2024-06-17
蝴蝶刀,战痕累累,★,872038,蝴蝶刀（★） | 自由之手,18,5316.5,9189.51,1.73,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,755721,蝴蝶刀（★ StatTrak™） | 致命紫罗兰,8,5299.5,7919.77,1.49,2024-06-17
蝴蝶刀,破损不堪,★,871925,蝴蝶刀（★） | 澄澈之水,23,5299.4,9864.13,1.86,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,872835,蝴蝶刀（★ StatTrak™） | 自由之手,2,5298.5,13912.53,2.63,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,872533,蝴蝶刀（★ StatTrak™） | 澄澈之水,3,5199.5,8028.23,1.54,2024-06-17
蝴蝶刀,破损不堪,★,42592,蝴蝶刀（★） | 致命紫罗兰,37,5195.5,9223.17,1.78,2024-06-17
蝴蝶刀,破损不堪,★,42570,蝴蝶刀（★） | 外表生锈,20,5189.5,8901.71,1.72,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43402,蝴蝶刀（★ StatTrak™） | 深红之网,20,5184.99,10676.38,2.06,2024-06-17
蝴蝶刀,战痕累累,★,42546,蝴蝶刀（★） | 深红之网,112,5169,7345.99,1.42,2024-06-17
蝴蝶刀,久经沙场,★,42566,蝴蝶刀（★） | 噩梦之夜,191,5164.5,7121.38,1.38,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43434,蝴蝶刀（★ StatTrak™） | 人工染色,10,5129.5,9431.24,1.84,2024-06-17
蝴蝶刀,破损不堪,★,42586,蝴蝶刀（★） | 人工染色,64,5119.5,8009.3,1.56,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,757432,蝴蝶刀（★ StatTrak™） | 外表生锈,5,5099.5,5171.0,1.01,2024-06-17
蝴蝶刀,战痕累累,★,871847,蝴蝶刀（★） | 澄澈之水,20,5098.5,11506.33,2.26,2024-06-17
蝴蝶刀,战痕累累,★,42569,蝴蝶刀（★） | 外表生锈,295,5079.5,6750.81,1.33,2024-06-17
