SCAR-20,崭新出厂,普通,36428,SCAR-20 | 溅射果酱,2,28499.5,7140.03,0.25,2024-06-17
SCAR-20,略有磨损,普通,36391,SCAR-20 | 翡翠色调,4,2499,390.6,0.16,2024-06-17
SCAR-20,破损不堪,普通,776019,SCAR-20 | 黄铜,5,1288.5,1006.39,0.78,2024-06-17
SCAR-20,崭新出厂,普通,775999,SCAR-20 | 黄铜,17,836.5,1414.69,1.69,2024-06-17
SCAR-20,略有磨损,普通,775877,SCAR-20 | 黄铜,6,778.3,1108.17,1.42,2024-06-17
SCAR-20,久经沙场,普通,775665,SCAR-20 | 黄铜,5,769.5,1024.74,1.33,2024-06-17
SCAR-20,战痕累累,普通,775878,SCAR-20 | 黄铜,10,754.97,996.81,1.32,2024-06-17
SCAR-20,崭新出厂,StatTrak™,39464,SCAR-20（StatTrak™） | 次时代,23,683.5,978.89,1.43,2024-06-17
SCAR-20,略有磨损,StatTrak™,39466,SCAR-20（StatTrak™） | 次时代,5,597.8,789.03,1.32,2024-06-17
SCAR-20,久经沙场,StatTrak™,39465,SCAR-20（StatTrak™） | 次时代,13,403.5,500.58,1.24,2024-06-17
SCAR-20,崭新出厂,普通,36386,SCAR-20 | 次时代,64,386.5,507.84,1.31,2024-06-17
SCAR-20,略有磨损,普通,36388,SCAR-20 | 次时代,18,346.8,471.56,1.36,2024-06-17
SCAR-20,崭新出厂,StatTrak™,39454,SCAR-20（StatTrak™） | 心脏打击,16,326,566.16,1.74,2024-06-17
SCAR-20,崭新出厂,普通,36413,SCAR-20 | 棕榈色,4,304.5,377.25,1.24,2024-06-17
SCAR-20,破损不堪,普通,835666,SCAR-20 | 大宪章,13,299.5,258.85,0.86,2024-06-17
SCAR-20,崭新出厂,StatTrak™,39459,SCAR-20（StatTrak™） | 深红之网,10,276.77,443.85,1.6,2024-06-17
SCAR-20,久经沙场,普通,36387,SCAR-20 | 次时代,15,275,349.61,1.27,2024-06-17
SCAR-20,略有磨损,普通,36430,SCAR-20 | 溅射果酱,19,269.4,381.68,1.42,2024-06-17
SCAR-20,战痕累累,普通,835649,SCAR-20 | 大宪章,9,197.5,265.38,1.34,2024-06-17
SCAR-20,略有磨损,普通,835614,SCAR-20 | 大宪章,10,178,229.69,1.29,2024-06-17
SCAR-20,崭新出厂,普通,36390,SCAR-20 | 翡翠色调,107,178,260.45,1.46,2024-06-17
SCAR-20,崭新出厂,普通,835359,SCAR-20 | 大宪章,23,175.97,229.9,1.31,2024-06-17
SCAR-20,久经沙场,普通,835424,SCAR-20 | 大宪章,9,174.5,221.71,1.27,2024-06-17
SCAR-20,破损不堪,普通,36416,SCAR-20 | 棕榈色,3,134.5,147.34,1.1,2024-06-17
SCAR-20,略有磨损,普通,36415,SCAR-20 | 棕榈色,5,128.9,163.74,1.27,2024-06-17
SCAR-20,久经沙场,普通,36414,SCAR-20 | 棕榈色,1,125.25,157.43,1.26,2024-06-17
SCAR-20,破损不堪,纪念品,37974,SCAR-20（纪念品） | 雇佣兵,9,118.5,161.2,1.36,2024-06-17
SCAR-20,崭新出厂,StatTrak™,39444,SCAR-20（StatTrak™） | 血腥运动,63,114.9,148.0,1.29,2024-06-17
SCAR-20,崭新出厂,纪念品,37981,SCAR-20（纪念品） | 暴风呼啸,16,105,204.59,1.95,2024-06-17
SCAR-20,略有磨损,StatTrak™,39456,SCAR-20（StatTrak™） | 心脏打击,29,99.87,151.84,1.52,2024-06-17
SCAR-20,崭新出厂,普通,36433,SCAR-20 | 暴风呼啸,9,84.9,129.79,1.53,2024-06-17
SCAR-20,崭新出厂,普通,36381,SCAR-20 | 深红之网,15,79.9,125.94,1.58,2024-06-17
SCAR-20,崭新出厂,普通,36371,SCAR-20 | 心脏打击,64,74.78,102.29,1.37,2024-06-17
