USP 消音版,崭新出厂,纪念品,38107,USP 消音版（纪念品） | 午夜行动,2,6999.5,5609.99,0.8,2024-06-17
USP 消音版,战痕累累,纪念品,43913,USP 消音版（纪念品） | 森林之叶,1,6887.5,627.32,0.09,2024-06-17
USP 消音版,略有磨损,纪念品,38109,USP 消音版（纪念品） | 午夜行动,5,3299.5,7247.55,2.2,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39739,USP 消音版（StatTrak™） | 枪响人亡,104,3029,5178.62,1.71,2024-06-17
USP 消音版,崭新出厂,纪念品,38116,USP 消音版（纪念品） | 宝蓝之色,13,1899.5,12411.22,6.53,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39757,USP 消音版（StatTrak™） | 疯狂蔓延,5,1749.5,2167.01,1.24,2024-06-17
USP 消音版,崭新出厂,StatTrak™,900665,USP 消音版（StatTrak™） | 印花集,200,1548.49,2085.76,1.35,2024-06-17
USP 消音版,崭新出厂,普通,871798,USP 消音版 | 银装素裹,111,1498.99,2140.17,1.43,2024-06-17
USP 消音版,略有磨损,StatTrak™,39741,USP 消音版（StatTrak™） | 枪响人亡,109,1438.5,2009.58,1.4,2024-06-17
USP 消音版,崭新出厂,普通,835753,USP 消音版 | 锁定,110,1349.49,2247.39,1.67,2024-06-17
USP 消音版,久经沙场,纪念品,38108,USP 消音版（纪念品） | 午夜行动,5,1110.5,3575.02,3.22,2024-06-17
USP 消音版,崭新出厂,StatTrak™,857715,USP 消音版（StatTrak™） | 倒吊人,57,1035.5,1393.43,1.35,2024-06-17
USP 消音版,略有磨损,StatTrak™,39734,USP 消音版（StatTrak™） | 黑水,54,968,1300.21,1.34,2024-06-17
USP 消音版,略有磨损,普通,835723,USP 消音版 | 锁定,48,959.4,1523.07,1.59,2024-06-17
USP 消音版,久经沙场,普通,835728,USP 消音版 | 锁定,10,934.5,1192.76,1.28,2024-06-17
USP 消音版,崭新出厂,普通,42181,USP 消音版 | 枪响人亡,283,929.9,1354.69,1.46,2024-06-17
USP 消音版,久经沙场,StatTrak™,39733,USP 消音版（StatTrak™） | 黑水,17,899.5,1096.93,1.22,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39720,USP 消音版（StatTrak™） | 蓝图,81,835.1,1199.73,1.44,2024-06-17
USP 消音版,久经沙场,StatTrak™,39740,USP 消音版（StatTrak™） | 枪响人亡,102,789.5,1153.44,1.46,2024-06-17
USP 消音版,崭新出厂,StatTrak™,43935,USP 消音版（StatTrak™） | 猎户,170,724.5,1006.39,1.39,2024-06-17
USP 消音版,略有磨损,StatTrak™,900546,USP 消音版（StatTrak™） | 印花集,322,707.3,1027.64,1.45,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39724,USP 消音版（StatTrak™） | 凯门鳄,30,688.5,1074.0,1.56,2024-06-17
USP 消音版,崭新出厂,普通,900565,USP 消音版 | 印花集,741,687,898.94,1.31,2024-06-17
USP 消音版,崭新出厂,StatTrak™,39749,USP 消音版（StatTrak™） | 黑色魅影,208,647.48,997.03,1.54,2024-06-17
USP 消音版,略有磨损,StatTrak™,39726,USP 消音版（StatTrak™） | 凯门鳄,9,632.5,781.78,1.24,2024-06-17
USP 消音版,略有磨损,纪念品,38105,USP 消音版（纪念品） | 森林之叶,4,599,848.96,1.42,2024-06-17
USP 消音版,崭新出厂,纪念品,38111,USP 消音版（纪念品） | 公路杀手,33,584.91,938.19,1.6,2024-06-17
USP 消音版,略有磨损,普通,42171,USP 消音版 | 黑水,46,558.29,747.1,1.34,2024-06-17
USP 消音版,战痕累累,StatTrak™,39738,USP 消音版（StatTrak™） | 枪响人亡,17,549,776.26,1.41,2024-06-17
USP 消音版,破损不堪,StatTrak™,39742,USP 消音版（StatTrak™） | 枪响人亡,31,547.9,952.12,1.74,2024-06-17
USP 消音版,崭新出厂,StatTrak™,835602,USP 消音版（StatTrak™） | 小绿怪,86,546.5,799.41,1.46,2024-06-17
USP 消音版,略有磨损,StatTrak™,39754,USP 消音版（StatTrak™） | 猎户,54,536.9,857.66,1.6,2024-06-17
USP 消音版,崭新出厂,普通,871547,USP 消音版 | 橙红安乐蜥,95,524.5,779.02,1.49,2024-06-17
USP 消音版,久经沙场,StatTrak™,39753,USP 消音版（StatTrak™） | 猎户,14,519.5,808.84,1.56,2024-06-17
USP 消音版,久经沙场,普通,42170,USP 消音版 | 黑水,29,515,688.63,1.34,2024-06-17
USP 消音版,略有磨损,普通,871574,USP 消音版 | 橙红安乐蜥,20,499.5,688.84,1.38,2024-06-17
